"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","Alexa Fluor 488-A","Time"
70476.695312,63000.000000,73313.656250,43173.000000,32444.000000,87208.289062,160.929993,2576.000000,0.558167
78452.531250,68334.000000,75240.218750,57024.000000,39038.000000,95730.445312,195.580002,3147.000000,0.560250
41741.230469,34753.000000,78714.164062,34308.000000,23013.000000,97701.695312,156.309998,2627.000000,0.565457
42395.351562,37615.000000,73864.734375,47696.000000,24619.000000,126967.187500,123.199997,2469.000000,0.566498
61868.851562,54284.000000,74693.046875,38805.000000,28572.000000,89007.578125,189.419998,2223.000000,0.569622
57617.863281,50666.000000,74528.171875,38579.000000,24010.000000,105302.515625,141.679993,1642.000000,0.569622
77544.820312,69503.000000,73118.820312,29748.000000,24891.000000,78324.093750,160.160004,1630.000000,0.570664
39981.902344,26962.000000,97183.226562,63955.000000,31890.000000,131431.625000,446.599976,4060.000000,0.576912
35906.289062,22013.000000,106898.414062,41259.000000,16157.000000,167354.703125,86.239998,2241.000000,0.578994
37212.949219,32662.000000,74667.437500,59562.000000,39318.000000,99279.093750,334.949982,4342.000000,0.584201
70158.320312,63903.000000,71951.179688,46667.000000,36927.000000,82822.015625,149.379990,2065.000000,0.585243
74244.992188,62655.000000,77658.921875,37689.000000,29883.000000,82655.234375,72.379997,1740.000000,0.586284
67654.812500,55723.000000,79569.046875,35112.000000,27679.000000,83135.226562,83.930000,1794.000000,0.586284
67135.781250,62399.000000,70510.921875,44846.000000,32399.000000,90713.523438,206.360001,2525.000000,0.588367
83703.664062,58110.000000,94400.343750,60945.000000,30154.000000,132456.437500,151.690002,2312.000000,0.595656
59873.312500,52887.000000,74193.242188,35870.000000,27543.000000,85349.320312,127.049995,1848.000000,0.596697
69087.078125,57567.000000,78650.796875,57951.000000,39771.000000,95493.617188,273.350006,3931.000000,0.597739
50590.019531,43494.000000,76228.164062,51837.000000,31842.000000,106688.960938,559.019958,2696.000000,0.600863
27795.361328,17662.000000,103136.500000,38006.000000,19614.000000,126988.945312,354.970001,16993.000000,0.601904
58901.613281,56074.000000,68840.750000,32573.000000,24638.000000,86642.757812,137.059998,1958.000000,0.602946
44416.171875,36746.000000,79215.648438,32207.000000,19022.000000,110961.937500,101.639999,1372.000000,0.605028
46775.902344,39031.000000,78540.273438,40551.000000,26551.000000,100092.289062,190.959991,2131.000000,0.611276
53661.542969,41594.000000,84549.773438,50940.000000,33930.000000,98390.921875,220.989990,3145.000000,0.613359
63567.351562,56609.000000,73591.656250,29976.000000,25057.000000,78401.531250,214.830002,1304.000000,0.618566
73963.750000,68342.000000,70926.937500,23622.000000,19442.000000,79626.140625,97.790001,1706.000000,0.621690
43041.570312,29867.000000,94444.453125,34136.000000,21743.000000,102889.984375,142.449997,1530.000000,0.623773
36846.390625,28980.000000,83325.218750,48555.000000,29415.000000,108179.515625,180.949997,2039.000000,0.625855
30527.970703,26234.000000,76262.914062,51386.000000,23390.000000,143977.468750,187.879990,2444.000000,0.625855
27298.451172,25226.000000,70920.140625,41881.000000,28542.000000,96164.007812,381.149994,2983.000000,0.639393
55676.042969,45186.000000,80750.351562,39097.000000,26402.000000,97047.984375,43.889999,1866.000000,0.640434
34170.660156,24951.000000,89752.250000,56667.000000,31683.000000,117215.179688,427.349976,2741.000000,0.641476
58801.281250,53022.000000,72679.281250,48924.000000,32330.000000,99173.625000,123.199997,2024.000000,0.645641
75131.375000,60959.000000,80772.476562,39849.000000,27723.000000,94201.359375,160.929993,2572.000000,0.646683
57623.390625,46890.000000,80537.562500,44584.000000,30798.000000,94871.648438,264.109985,1799.000000,0.647724
65567.632812,58421.000000,73553.000000,38387.000000,30565.000000,82307.562500,194.039993,1550.000000,0.648765
80091.781250,67694.000000,77538.562500,75330.000000,45054.000000,109575.773438,309.539978,4902.000000,0.649807
41910.292969,34237.000000,80224.117188,36446.000000,25225.000000,94688.796875,66.220001,1454.000000,0.650848
49890.871094,42854.000000,76297.382812,45145.000000,28034.000000,105536.953125,78.540001,2210.000000,0.650848
27777.191406,21090.000000,86316.070312,37798.000000,20450.000000,121131.046875,320.320007,1847.000000,0.650848
96846.890625,79531.000000,79804.835938,53237.000000,40443.000000,86268.085938,160.160004,2835.000000,0.651889
75545.335938,68555.000000,72218.492188,41122.000000,31967.000000,84304.796875,241.779999,2620.000000,0.651889
68384.773438,61122.000000,73323.265625,43725.000000,32214.000000,88953.921875,95.479996,1532.000000,0.655013
27387.720703,24915.000000,72040.195312,46314.000000,29255.000000,103750.960938,368.059998,2353.000000,0.658138
71851.289062,63568.000000,74075.734375,41598.000000,33044.000000,82501.109375,189.419998,1831.000000,0.659179
66698.125000,59339.000000,73663.671875,41553.000000,28747.000000,94730.500000,652.959961,26953.000000,0.661262
38102.492188,28870.000000,86494.109375,48613.000000,33058.000000,96373.093750,243.319992,1825.000000,0.664386
128483.234375,106874.000000,78786.953125,68413.000000,49514.000000,90550.445312,311.850006,3003.000000,0.665427
61550.480469,53334.000000,75632.281250,50119.000000,28722.000000,114358.289062,194.809998,2677.000000,0.666468
110430.945312,82531.000000,87690.710938,72873.000000,43667.000000,109368.742188,191.729996,2906.000000,0.667510
52829.671875,34863.000000,99310.015625,44346.000000,21775.000000,133467.718750,17.709999,2185.000000,0.670634
68231.515625,54492.000000,82060.125000,46572.000000,36124.000000,84490.718750,227.919998,2214.000000,0.671675
64076.902344,49795.000000,84332.648438,52908.000000,33427.000000,103729.882812,239.470001,3565.000000,0.673758
46826.460938,31043.000000,98857.031250,43461.000000,28871.000000,98654.710938,209.440002,2092.000000,0.680006
48076.242188,43075.000000,73145.093750,41427.000000,30035.000000,90393.203125,284.130005,1993.000000,0.681047
69117.101562,62902.000000,72011.359375,24555.000000,21270.000000,75657.562500,80.080002,1973.000000,0.682089
75779.960938,64651.000000,76817.304688,46564.000000,33055.000000,92319.414062,213.289993,2715.000000,0.685213
44477.000000,39853.000000,73139.914062,41887.000000,25305.000000,108480.789062,114.729996,1718.000000,0.686254
84941.593750,77378.000000,71942.062500,60010.000000,41014.000000,95889.585938,242.549988,2265.000000,0.688337
56521.339844,49515.000000,74809.296875,35300.000000,25179.000000,91878.984375,53.899998,1382.000000,0.690420
41925.300781,20762.000000,132338.718750,51537.000000,23998.000000,140742.109375,157.080002,2085.000000,0.697709
49779.480469,33364.000000,97780.492188,130895.000000,47028.000000,182409.078125,1948.099976,5069.000000,0.700833
25549.390625,20430.000000,81958.140625,55548.000000,27678.000000,131526.609375,514.359985,3055.000000,0.704998
106345.062500,95918.000000,72660.289062,31051.000000,28126.000000,72351.507812,24.639999,3078.000000,0.708123
76618.945312,69519.000000,72229.164062,35717.000000,27951.000000,83744.750000,287.209991,1937.000000,0.710205
109584.062500,97440.000000,73703.820312,50716.000000,41011.000000,81044.695312,147.839996,2135.000000,0.718536
18655.849609,14637.000000,83530.085938,60685.000000,33433.000000,118955.890625,318.009979,2767.000000,0.719577
45124.011719,38373.000000,77065.835938,44407.000000,31457.000000,92515.414062,146.300003,2326.000000,0.720619
28545.070312,18014.000000,103848.664062,46898.000000,28538.000000,107698.765625,344.959991,2379.000000,0.720619
38883.800781,29594.000000,86108.296875,36927.000000,24110.000000,100375.281250,229.459991,1783.000000,0.721660
45781.292969,35763.000000,83894.609375,57375.000000,34867.000000,107842.023438,133.209991,2915.000000,0.722702
63964.722656,51452.000000,81473.843750,54318.000000,35112.000000,101383.703125,405.019989,3396.000000,0.724784
65055.710938,59953.000000,71113.890625,42943.000000,31121.000000,90431.296875,87.009995,2152.000000,0.725826
89685.539062,77080.000000,76253.656250,70943.000000,54232.000000,85730.203125,197.119995,2706.000000,0.726867
41490.800781,29226.000000,93038.429688,46600.000000,20794.000000,146868.218750,164.009995,1745.000000,0.727908
73222.734375,63655.000000,75386.460938,45133.000000,32691.000000,90478.617188,143.989990,2629.000000,0.729991
71994.281250,65154.000000,72416.382812,47381.000000,33654.000000,92267.226562,220.989990,3693.000000,0.731032
60155.339844,48086.000000,81985.203125,40575.000000,29602.000000,89829.179688,122.430000,2289.000000,0.736239
38440.609375,23330.000000,107983.015625,38583.000000,20310.000000,124499.039062,250.250000,2170.000000,0.739363
54572.410156,47635.000000,75080.453125,51217.000000,33799.000000,99309.375000,53.899998,2476.000000,0.742487
53750.812500,43645.000000,80710.578125,37624.000000,22921.000000,107574.992188,110.110001,2213.000000,0.745611
59789.570312,52027.000000,75314.156250,37776.000000,27007.000000,91668.382812,161.699997,1240.000000,0.754984
70392.164062,46218.000000,99814.382812,52110.000000,33642.000000,101512.421875,271.809998,3329.000000,0.754984
51143.019531,45838.000000,73120.750000,51273.000000,32922.000000,102066.320312,223.299988,2526.000000,0.757066
62208.550781,54059.000000,75415.742188,45600.000000,30255.000000,98775.125000,118.579994,2979.000000,0.759149
59029.589844,48343.000000,80023.242188,64850.000000,39703.000000,107045.054688,464.309998,3471.000000,0.759149
27294.500000,19907.000000,89856.453125,38765.000000,25187.000000,100865.648438,104.720001,1247.000000,0.760190
53855.089844,48278.000000,73106.750000,55416.000000,36322.000000,99987.414062,309.539978,4593.000000,0.761232
17130.361328,10895.000000,103043.179688,47031.000000,24927.000000,123650.007812,168.629990,1873.000000,0.765397
47179.589844,39617.000000,78046.335938,34922.000000,22613.000000,101209.406250,311.079987,1615.000000,0.772687
38019.542969,32323.000000,77085.937500,42687.000000,29923.000000,93491.140625,48.509998,1565.000000,0.774769
64725.492188,50574.000000,83874.132812,43773.000000,25918.000000,110683.984375,237.929993,2043.000000,0.776852
66707.601562,51086.000000,85576.273438,43523.000000,31902.000000,89408.921875,333.410004,1953.000000,0.778935
51675.480469,42338.000000,79989.710938,52260.000000,32534.000000,105271.757812,130.899994,2951.000000,0.783100
58279.089844,49106.000000,77778.242188,29591.000000,21478.000000,90291.265625,66.989998,1460.000000,0.784142
65988.703125,57623.000000,75050.507812,43618.000000,33027.000000,86551.890625,303.380005,1860.000000,0.784142
74707.140625,66630.000000,73480.531250,54728.000000,39298.000000,91268.117188,290.289978,2950.000000,0.785183
75854.218750,69147.000000,71892.953125,30405.000000,25375.000000,78526.984375,143.989990,1803.000000,0.786224
68484.312500,64343.000000,69754.101562,28238.000000,24195.000000,76487.109375,138.599991,1022.000000,0.786224
75718.343750,67931.000000,73048.796875,39067.000000,30975.000000,82656.820312,199.429993,1770.000000,0.788307
62604.339844,47559.000000,86268.382812,52656.000000,33303.000000,103620.203125,211.750000,2473.000000,0.791431
38971.492188,29789.000000,85737.546875,32842.000000,26269.000000,81934.351562,368.059998,2109.000000,0.794555
49818.191406,44471.000000,73416.046875,30044.000000,23847.000000,82566.515625,71.610001,1117.000000,0.795597
60259.621094,56794.000000,69535.062500,43787.000000,31194.000000,91992.851562,211.750000,2556.000000,0.795597
72525.164062,65054.000000,73062.523438,50167.000000,36810.000000,89316.609375,274.889984,3106.000000,0.796638
88498.960938,72590.000000,79898.992188,64165.000000,42570.000000,98781.242188,169.399994,4144.000000,0.798721
54938.972656,47560.000000,75703.960938,51572.000000,39672.000000,85194.156250,351.889984,3498.000000,0.802886
37034.410156,23838.000000,101815.882812,64270.000000,26718.000000,157646.484375,61.599998,2901.000000,0.802886
70578.601562,61635.000000,75045.664062,27142.000000,21843.000000,81434.695312,40.040001,1226.000000,0.802886
34501.671875,28218.000000,80129.765625,56906.000000,16030.000000,232650.750000,178.639999,2111.000000,0.810176
80274.273438,74702.000000,70424.546875,48196.000000,35598.000000,88728.953125,422.729980,3081.000000,0.810176
40148.589844,29443.000000,89365.148438,37156.000000,22019.000000,110588.835938,50.049999,1429.000000,0.811217
62376.031250,56479.000000,72378.687500,51687.000000,35963.000000,94190.117188,105.489998,2278.000000,0.817465
80222.132812,62350.000000,84321.382812,43893.000000,27582.000000,104291.632812,168.629990,2097.000000,0.819548
76874.109375,68846.000000,73178.140625,34669.000000,25898.000000,87731.390625,208.669998,1428.000000,0.821630
25441.951172,19599.000000,85073.914062,38474.000000,22911.000000,110053.335938,98.559998,2354.000000,0.823713
54039.953125,42690.000000,82960.000000,32563.000000,22278.000000,95791.765625,172.479996,2477.000000,0.826837
86939.500000,79473.000000,71693.117188,38244.000000,31393.000000,79838.148438,67.759995,1807.000000,0.827879
68588.593750,61946.000000,72563.562500,43922.000000,33114.000000,86926.148438,204.049988,2503.000000,0.828920
38992.031250,32579.000000,78436.476562,45748.000000,29763.000000,100733.828125,160.929993,2576.000000,0.828920
69433.101562,64196.000000,70882.414062,49650.000000,35504.000000,91647.773438,605.989990,2074.000000,0.828920
59621.300781,52850.000000,73932.664062,91130.000000,50178.000000,119022.203125,511.279999,4443.000000,0.831003
50123.921875,41190.000000,79750.453125,49287.000000,30374.000000,106343.351562,293.369995,2676.000000,0.833085
54157.660156,29426.000000,120617.023438,51820.000000,29366.000000,115646.507812,183.259995,2438.000000,0.834127
34622.539062,28326.000000,80103.890625,38331.000000,24694.000000,101727.562500,516.669983,2265.000000,0.837251
41834.449219,25946.000000,105668.023438,139017.000000,43626.000000,208834.609375,917.070007,5039.000000,0.838292
79214.093750,68698.000000,75568.062500,45042.000000,33674.000000,87660.289062,176.330002,2204.000000,0.841416
46561.019531,31050.000000,98274.484375,42283.000000,20666.000000,134087.812500,68.529999,2222.000000,0.842458
51361.062500,43554.000000,77283.343750,43131.000000,24354.000000,116064.437500,169.399994,1889.000000,0.843499
44234.472656,34862.000000,83155.023438,34418.000000,20910.000000,107872.703125,184.029999,1784.000000,0.843499
84722.765625,75795.000000,73255.382812,36682.000000,30231.000000,79520.742188,83.159996,2494.000000,0.844540
49265.980469,41562.000000,77683.828125,63418.000000,41246.000000,100765.218750,262.570007,2566.000000,0.845582
48699.550781,35962.000000,88748.507812,64857.000000,39246.000000,108303.226562,210.979996,3423.000000,0.852871
95808.835938,74967.000000,83755.890625,77828.000000,47331.000000,107763.109375,545.159973,3753.000000,0.854954
87791.914062,74303.000000,77433.359375,78938.000000,51647.000000,100166.140625,154.000000,3712.000000,0.860161
70734.234375,62847.000000,73760.695312,50659.000000,33759.000000,98343.796875,418.109985,3193.000000,0.864326
64938.000000,39158.000000,108682.179688,61268.000000,29554.000000,135861.796875,217.909988,2795.000000,0.870574
59021.691406,48043.000000,80512.164062,57370.000000,36539.000000,102898.281250,167.089996,2667.000000,0.872657
55586.773438,49743.000000,73235.125000,36742.000000,28351.000000,84932.593750,149.379990,1332.000000,0.875781
59338.480469,55250.000000,70385.648438,30992.000000,25826.000000,78645.226562,156.309998,1417.000000,0.875781
73912.398438,66854.000000,72455.242188,33715.000000,25906.000000,85290.906250,214.830002,2112.000000,0.876822
73700.679688,66982.000000,72109.640625,35943.000000,26578.000000,88628.203125,197.889999,3361.000000,0.876822
91243.421875,68281.000000,87575.296875,82374.000000,42169.000000,128019.695312,137.059998,4066.000000,0.879946
63003.292969,57550.000000,71746.031250,36840.000000,29054.000000,83098.585938,115.500000,1558.000000,0.879946
62887.160156,57329.000000,71889.843750,41708.000000,29233.000000,93503.085938,465.079987,2110.000000,0.884112
43859.222656,31050.000000,92571.914062,44615.000000,24474.000000,119469.179688,103.949997,3596.000000,0.887236
