"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
73538.9,53838,89517.5,87683.2,39742,144593,474.79,5446.55,2.091,123
75828.1,56899,87338.4,62098.4,31267,130159,259.91,3018.64,2.138,124
160802,131310,80255.4,92415.8,64522,93868.1,707.05,6052.8,2.251,127
32678,20698,103468,50893,29082,114687,222.78,2392.99,2.298,129
43564.3,37034,77092.1,36431.3,26350,90609.5,650.17,2443.43,2.315,130
141563,119186,77840.3,65409,46482,92221.7,301.78,2941.04,2.341,132
63541.2,43105,96606.8,64325.6,34677,121569,133.51,2897.39,2.359,133
66849.1,39118,111995,39617.7,19834,130906,266.23,1787.71,2.361,134
36314.7,35023,67953.1,36200.4,28543,83117.7,362.61,2041.85,2.385,135
34032.5,22820,97736.7,32313.6,20052,105611,353.13,1729.51,2.426,136
63450.3,36138,115067,42182.4,27566,100285,117.71,2250.4,2.427,137
35397.7,26859,86370.4,47050.8,33535,91949.4,361.82,3391.12,2.434,138
123674,99371,81563.7,91786.2,48939,122914,357.08,3607.43,2.438,139
69010.5,57982,78001.3,76007.3,46026,108226,453.46,5245.76,2.439,140
114349,101590,73766.8,51955.1,39782,85589.8,158,2552.07,2.444,142
61066.4,51450,77785.2,35623.2,26798,87118.6,192.76,2045.73,2.482,144
111688,89382,81890.8,76947.2,57090,88330.9,317.58,3309.64,2.485,145
33074.6,27730,78167.2,42533.5,33314,83672.9,127.19,1465.67,2.498,146
51138.8,33877,98929.4,56178.5,28273,130220,122.45,3573.48,2.554,148
85804.2,71218,78958.4,41683.8,31574,86520.2,159.58,2231.97,2.571,150
59748.1,44998,87018.4,45512.4,32722,91152.8,571.17,2687.87,2.607,151
32849.7,21954,98061.4,48294.4,29782,106273,697.57,2767.41,2.608,152
118739,101932,76341.6,67505.2,52792,83801,219.62,2937.16,2.61,153
79965.3,75031,69845.9,50581.6,36199,91574.8,346.81,2959.47,2.646,155
73812.2,65886,73420.1,51472.1,32362,104236,247.27,2974.02,2.655,156
64740.1,55315,76702.6,34000.4,26755,83283.6,87.69,1411.35,2.676,157
68492.3,38383,116945,62442.8,28399,144098,297.04,3088.48,2.703,159
113798,102222,72957.2,66729.2,46878,93288.2,279.66,2894.48,2.743,161
56114.5,47021,78210.2,46102.2,26157,115508,499.28,2815.91,2.749,162
108097,89675,78999.3,76373.9,45131,110905,139.04,3016.7,2.794,165
146808,123715,77769.2,69009.7,48851,92579.9,297.83,3619.07,2.836,167
38308.3,29442,85271.8,45222.4,23650,125315,295.46,2468.65,2.846,168
70746.8,52203,88816,47932.6,35295,89001.5,202.24,2187.35,2.847,169
81713.2,71783,74602,52937.8,38675,89704.7,439.24,3747.11,2.881,170
90743.7,78991,75286.8,80665.2,50191,105327,257.54,4121.53,2.884,171
78325.9,73091,70229.8,48409.8,37667,84227.2,444.77,2700.48,2.891,173
61380.5,58625,68616.4,54809.9,35285,101800,214.09,2434.7,3.026,175
100634,72431,91054.6,87248.6,48027,119056,308.1,4733.6,3.035,176
94922.5,87432,71150.6,59629.8,41656,93813.6,182.49,3086.54,3.044,177
48515.4,38434,82726.4,31339.7,21094,97368,376.83,1746.97,3.046,178
36858.4,28343,85225.6,48760.9,24371,131123,280.45,2644.22,3.047,179
58238.9,32696,116734,64395.4,32600,129454,1030.16,3051.62,3.048,180
100042,92354,70991.7,59175.8,46342,83685.3,342.86,3404.7,3.05,181
106686,90950,76874.8,68718.7,49314,91323.9,583.81,4358.21,3.09,183
47820.1,35216,88991.9,49507.8,29012,111835,152.47,2604.45,3.169,187
51154.9,35862,93483.1,48451.5,29958,105992,218.04,2573.41,3.204,188
70357.2,62556,73708.8,37479.8,26344,93238.6,142.2,1906.05,3.214,189
59791.3,51527,76047.1,55117.3,36387,99270.9,195.13,1932.24,3.214,190
83846.1,68002,80805.5,70597.6,48006,96377.2,437.66,3189.36,3.25,192
54807.1,44414,80871.7,80658.4,38602,136937,512.71,5510.57,3.268,193
34974.9,24446,93762.5,61661,37038,109105,412.38,4103.1,3.269,194
129261,113823,74424.6,59370.8,44543,87352.1,394.21,3228.16,3.274,195
97162.4,80437,79163,58944,39713,97271.8,359.45,3150.56,3.301,197
71034.8,47286,98450.6,65140.4,39394,108368,278.87,2724.73,3.309,198
94214.1,81319,75928.3,54862.2,33155,108444,256.75,3074.9,3.318,200
52782.7,38594,89629.7,52197.6,40034,85448,305.73,3291.21,3.332,201
106125,92161,75466,80953.3,48769,108785,398.95,4444.54,3.351,203
123312,110395,73204.4,49427.3,39983,81016.2,205.4,2118.48,3.371,204
61457.5,59326,67890.7,37048.2,26318,92255.9,197.5,2284.35,3.376,205
101207,92891,71403.2,50911.4,40139,83124.4,430.55,2611.24,3.49,208
92850.4,62935,96687.8,48660.1,34403,92695,244.11,2037.97,3.499,209
120982,100935,78552.6,86817.9,58839,96699.4,240.16,3605.49,3.543,212
34629.2,20403,111232,58036.1,18755,202797,196.71,3136.01,3.549,213
99063.6,81831,79337.1,50742.6,32935,100971,248.85,2784.87,3.583,214
46776,34854,87952.9,42145.5,30770,89764.4,411.59,3086.54,3.597,215
124006,115630,70283.4,60004.2,46654,84289.4,379.99,2896.42,3.609,216
74298.8,64182,75866.3,52625.4,31670,108900,237,2394.93,3.633,217
42738.8,38562,72634.5,41423.9,26434,102699,101.91,1782.86,3.651,218
104695,88412,77606.1,77396.3,56536,89717.1,253.59,2937.16,3.657,219
28292.9,23918,77523.3,28372.5,24602,75580,131.93,1459.85,3.667,221
31633.1,25998,79741.1,49115,33866,95045.2,346.81,2877.02,3.667,222
27691.5,17754,102219,31840.2,22878,91209.1,235.42,1910.9,3.753,227
47342.7,40131,77313,47501.9,28291,110038,534.83,2831.43,3.817,229
77766.1,54503,93508.3,78850.3,39255,131640,315.21,3418.28,3.824,231
36149.2,26049,90946.8,32053.7,16513,127213,106.65,2861.5,3.854,232
56047.5,47994,76533.1,52017.2,30922,110245,142.99,2179.59,3.871,234
116169,102230,74471.9,73056.5,43142,110978,256.75,3140.86,3.871,235
