"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
46488.8,40060,76053.1,66576.9,42636,102336,3867.84,24822.3,0.517,1
50846.9,36553,91163.7,58525,30829,124412,3810.96,33026.6,0.523,3
20418.9,14335,93349.9,49853.2,31359,104186,1132.07,14569.4,0.536,4
24860.2,14342,113599,129570,50758,167293,2084.02,56823.6,0.558,6
37045.5,30279,80181.4,29306.6,11651,164847,707.84,15727.6,0.562,7
83826.8,76218,72078.4,51453.7,35454,95111,1157.35,30539.5,0.571,8
48745.6,29659,107711,94555.6,34959,177259,2607,76017.9,0.585,10
44717,39575,74051.1,78474,49363,104185,2473.49,14224.1,0.591,11
35311.4,31678,73052.9,87684.1,48574,118303,3185.28,26657.5,0.609,12
41386,33187,81726.9,74077.9,39991,121397,2031.88,9412.88,0.631,13
43261.7,24257,116882,147857,65170,148687,4529.86,10271.3,0.654,14
42042,21758,126632,85248.5,33770,165438,4480.88,49652.4,0.656,15
106997,93467,75022.7,94429.5,50175,123339,3484.69,21490.4,0.667,16
119295,100207,78019.4,105044,65035,105853,5600.31,54799.2,0.67,17
38077.3,33202,75159.1,74160.4,45686,106382,2583.3,20648.4,0.724,20
29072.1,15896,119858,90915.2,49980,119212,1361.96,46107,0.741,21
56866.8,51266,72695.8,73452.3,51538,93402.3,2275.2,5162.34,0.855,23
33143.9,29486,73666.1,67499.4,42106,105060,5304.85,22258.6,0.874,25
64208.8,40655,103505,83466.6,27807,196715,2302.85,31401.8,0.92,27
37263.4,33484,72933.1,59812.1,37576,104318,1493.89,8356.55,0.963,29
23858.4,20379,76725.4,58448.3,39823,96187.4,756.82,34647.4,0.965,30
57302.6,42955,87426,105729,57743,119998,1745.9,42514.1,0.968,31
23556.6,17852,86478,50191.7,28104,117042,1114.69,25795.2,0.987,32
111474,86179,84771.7,94263.6,51475,120013,5842.84,6765.75,1.079,35
50131.6,41322,79507.9,106519,61050,114346,4266,47933.5,1.124,36
89842.8,85645,68748.2,44263,33437,86754.9,500.07,14469.5,1.134,37
35474.7,32358,71848.3,55983.6,31174,117692,810.54,12789.5,1.151,38
45414.6,37542,79279,60535.8,37346,106230,1206.33,16252.4,1.153,40
21650.9,19683,72088.1,39377.2,25703,100402,1087.83,17586.1,1.169,42
20750.7,8934,152218,91957,28498,211471,1758.54,47781.2,1.172,43
151936,136903,72732.2,103274,59235,114260,5097.87,63033.5,1.238,47
30366.5,26079,76310.4,29856.6,24315,80472.2,2464.01,21594.1,1.248,48
187969,162400,75854.1,95999,66160,95093.5,5034.67,85275.6,1.253,49
65230.5,60179,71037.2,44587,31911,91568.9,1015.15,20036.3,1.257,50
21411.4,17531,80042,58673.4,33739,113970,480.32,29253.3,1.318,51
57511.3,42719,88229.1,43045.7,25055,112594,1535.76,12398.5,1.4,53
191147,164182,76299.6,136751,76562,117057,7487.62,60929.6,1.422,54
29025.1,17563,108307,72613.2,40747,116789,635.95,15341.5,1.437,55
45256.8,34214,86688.1,66402.3,28550,152425,1990.8,14591.7,1.44,56
32051.2,24659,85182.3,52973.6,21347,162631,1722.2,15583.1,1.451,57
47790.8,24066,130143,95534.3,45170,138608,1173.15,17396,1.452,58
131119,102529,83810.9,81975.7,53313,100770,1041.22,25598.3,1.456,59
63671.3,38911,107239,54990.3,37967,94920.4,2443.47,17583.2,1.461,60
93749.8,77122,79665.8,93785.4,56498,108788,2041.36,32893.7,1.475,61
38642.4,33562,75456.5,53057.1,35118,99013.3,792.37,31094.3,1.511,64
102537,85321,78759.8,101928,41546,160784,2023.98,37560.3,1.525,65
55443.8,40871,88903.3,89423.3,54583,107368,2366.84,43679.1,1.526,66
73633.6,61399,78594.9,144515,78819,120161,3915.24,18322.3,1.537,67
150312,131964,74647.9,125175,72303,113459,9439.71,16669.5,1.544,68
25244.4,15272,108330,84365.8,31704,174394,5623.22,11087.1,1.651,71
32251.4,24433,86507.2,80714.7,36693,144161,2129.05,54645.9,1.694,73
60304.9,39515,100016,113666,64603,115307,1391.98,7963.7,1.705,74
42209.9,23654,116947,31977,20162,103940,2356.57,12042.6,1.707,75
23233.2,13847,109960,82850.6,28163,192795,900.6,37787.3,1.722,77
42639.5,32599,85721.1,49949.2,28151,116283,8348.72,13701.2,1.778,78
73248.6,50610,94851.2,139133,63366,143898,3699.57,10480.9,1.787,80
24782.4,20903,77699,59652.1,34899,112019,3062.83,28712,1.791,81
64443.6,50222,84094.2,51196.6,26366,127256,1263.21,11844.7,1.832,83
111343,103084,70786.5,50481.7,38668,85558.3,3410.43,16984.7,1.834,84
70996.3,58774,79164.5,57296,35538,105660,632.79,12072.6,1.837,85
101984,87067,76764.3,43554.9,34191,83484.4,653.33,31991.6,1.849,87
61550.7,54675,73777.6,82781.7,49895,108732,4421.63,9229.55,1.915,89
98387.5,80163,80435.2,80123.9,42323,124070,895.07,24215.1,1.918,90
70916.2,55590,83604.4,79401.3,57234,90918.7,1009.62,153167,1.959,91
58920.4,48715,79265.3,59363,32335,120316,3705.89,7351.63,1.959,92
43090.7,37403,75501.8,61337,43867,91635.6,4413.73,51615.6,1.978,93
33292.5,27871,78284.1,65831,36667,117662,6022.96,31177.7,1.983,94
69123.7,62195,72836.9,68333.6,33575,133382,1737.21,36191.7,2.013,95
103008,94886,71145.9,63693.1,44358,94102.3,1511.27,24731.1,2.03,96
42306.1,22566,122865,77404.1,42546,119230,6539.62,12078.4,2.07,98
30053.9,15563,126557,83523.8,35179,155599,2080.07,35055.8,2.104,99
44301.9,33551,86536.1,113989,45787,163155,1912.59,62981.1,2.142,100
45925.1,36395,82696.8,93893.1,60315,102021,1887.31,14522.8,2.196,101
90997.1,62238,95819,78658.3,36126,142694,5405.97,17900.4,2.215,102
22362.3,16779,87343.6,82603.3,41535,130336,907.71,10934.8,2.251,103
158964,127730,81561.7,120258,70706,111464,3484.69,45818,2.267,104
38396.1,26898,93550.6,88412.6,44054,131525,2113.25,30545.3,2.295,105
34613,26913,84286.4,89856,52033,113174,3986.34,38440.1,2.329,106
51577.7,30858,109540,57316.3,23982,156629,1770.39,12601.3,2.344,107
47479.7,35967,86513.5,129814,68271,124614,829.5,65836.8,2.35,108
63046.1,51966,79509.4,115865,54766,138650,1639.25,45644.3,2.374,109
29132.2,20203,94501.1,59088.5,26523,146003,1267.16,26405.3,2.45,114
158304,134941,76882.7,105989,53005,131046,7775.97,43280.4,2.452,115
