"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
124496,107016,76240.5,58561.5,40396,95006.6,8480,2355.21,3.499,153
124844,109714,74574,84927.1,48834,113974,21351.2,2758.14,3.507,154
164854,139342,77534.8,73522.4,50510,95394.2,7183.2,4614.39,3.517,155
34926.8,33748,67825.2,36083.5,19248,122858,3947.2,665.28,3.532,157
28067.5,14567,126274,62703.6,18855,217945,9706.4,1952.28,3.619,159
65585.5,47298,90875.1,97494.2,33334,191678,3916.8,6497.37,3.644,160
100858,77130,85697.2,79312.9,40026,129862,11337.6,4910.4,3.688,161
120359,103123,76489.5,66999.2,43431,101100,8485.6,4007.52,3.693,163
41234.7,30503,88593.2,70606.8,27379,169009,5023.2,2176.02,3.753,169
81559.9,70828,75466.1,78574.3,46664,110352,9244.8,2245.32,3.777,171
32212.4,21338,98935,47764.5,33146,94439.6,1782.4,738.54,3.788,172
64172.2,41979,100183,78034.8,24795,206255,32716.8,3086.82,3.836,173
162506,141955,75023.7,87278.4,54903,104182,31364.8,4893.57,3.868,174
123527,112982,71652.7,66403.3,44738,97273.1,5344,2213.64,3.889,176
157201,133563,77134.7,79322.8,54351,95646.8,58254.4,3163.05,3.953,178
114356,87635,85518.6,138482,69795,130032,12184,2896.74,3.974,179
133281,117778,74162.4,65267.7,44098,96997.3,4328,2477.97,4.058,180
46532.5,33011,92379.9,63441.2,32103,129511,14897.6,2162.16,4.107,181
98477.3,90346,71434.4,45714.2,33614,89127.4,1726.4,2277,4.14,182
49730.5,37138,87757.4,63741.2,35526,117585,5240,1628.55,4.28,183
76142.8,66864,74630.5,60884,37940,105169,3717.6,5051.97,4.333,186
101249,86664,76565.1,62530.4,38107,107539,1865.6,1759.23,4.405,187
111344,98266,74258.2,78323.9,54718,93808.8,14968.8,3509.55,4.405,188
84129.2,61639,89448.1,152682,67027,149285,35530.4,4919.31,4.426,190
96120.2,73691,85483.1,109067,49903,143235,33254.4,4406.49,4.491,191
30550.3,11015,181765,120360,32967,239267,23138.4,3848.13,4.607,194
82722.1,62498,86743.2,48334.8,29894,105963,2292.8,1500.84,4.653,196
137406,107702,83610.9,102232,48370,138514,20208.8,3565.98,4.686,198
37972,28075,88638.6,59695,26479,147746,9176.8,3447.18,4.794,200
41769,34954,78313.6,67989.2,30810,144620,3421.6,1092.96,4.82,202
97268.3,89366,71331.1,44751,34262,85599.2,18105.6,2152.26,4.992,205
47675.9,35492,88033.6,50269.2,21648,152182,4908.8,5376.69,5.032,206
45508.3,38399,77669.6,34623.3,19195,118212,4783.2,1063.26,5.042,207
39454.7,31763,81406.2,89716.8,46935,125273,2763.2,4452.03,5.044,208
159744,136311,76802.2,74676.7,47763,102464,32632,2748.24,5.1,210
30317,23379,84984.7,87137.8,52611,108545,173.6,11623.6,5.103,211
124896,107795,75932.8,64100.5,45527,92272.5,17760.8,2342.34,5.105,212
85186.1,76442,73032.6,58052.6,37486,101492,2160.8,9089.19,5.344,218
36563.3,26718,89685.3,93720.3,63742,96358.1,197.6,4876.74,5.41,220
156427,133502,76789.7,69895,47742,95945.7,11503.2,2763.09,5.458,222
101971,92387,72334.5,48463.5,36519,86971.2,2436,2297.79,5.46,223
24249.4,18827,84411.2,40629.6,18623,142979,19659.2,1904.76,5.469,224
129982,113163,75276.1,61440.4,43791,91949.4,18881.6,3308.58,5.531,227
53154.7,32596,106870,72158.1,32071,147453,6818.4,3275.91,5.649,229
28892,25685,73718.7,83632.2,37105,147714,36123.2,1914.66,5.651,231
135130,118846,74515.3,59174.3,41198,94131.9,24678.4,2738.34,5.695,233
51352.9,37751,89148.9,114347,52247,143431,59696.8,2963.07,5.817,236
156438,133038,77062.9,71471.1,50270,93175.4,42610.4,2916.54,5.865,238
90560.3,71610,82879,125097,43310,189295,13941.6,6150.87,5.943,239
123530,104986,77111.9,109554,62750,114418,3862.4,3619.44,5.956,240
107878,84814,83357.5,99151.5,44830,144947,18803.2,5203.44,6.039,243
194523,160526,79415.4,162429,86042,123718,246229,5346.99,6.05,245
86705.6,57999,97973,59685.1,27375,142887,3563.2,7243.83,6.081,246
74050.1,55422,87563.5,109532,51006,140734,10208.8,2217.6,6.097,247
37812.1,25507,97151.8,37967.5,20467,121573,3211.2,1304.82,6.154,249
179007,151053,77664.1,84892.5,55709,99867.4,38975.2,2705.67,6.256,252
67452.1,61221,72206.2,96402.2,45025,140318,5316,2006.73,6.337,255
157012,136443,75415.5,69256.4,52363,86679.3,5983.2,2920.5,6.481,258
90698.4,69159,85947,57442.8,31219,120586,2495.2,1935.45,6.5,259
68632.2,57102,78769.2,52146.3,34218,99873.1,17250.4,1968.12,6.5,260
79535.8,68482,76114.3,49679.2,34530,94288.3,2081.6,1291.95,6.506,261
104671,96319,71218.4,51875,37979,89514.8,1180.8,1785.96,6.526,262
71298.2,54975,84995,93946.1,43659,141021,10088,2841.3,6.557,263
77079.6,66671,75767.4,69607.9,35627,128044,15056,2370.06,6.563,264
66467.7,58962,73878.6,48622.9,32614,97704.9,8008.8,1733.49,6.564,265
101287,88459,75039.7,40598.9,31327,84932.8,6495.2,1558.26,6.591,266
36312.9,31715,75037.1,35327.2,29319,78965.9,4281.6,1080.09,6.606,267
54464.3,29047,122883,146697,34647,262143,23555.2,6112.26,6.607,268
54955.7,37365,96389,99047.5,36465,178011,10368.8,3196.71,6.637,269
162307,148329,71711.9,93357,59705,102475,2889.6,3110.58,6.795,276
107392,88668,79375.2,45861.8,34168,87965.2,21246.4,2227.5,6.958,283
146929,125299,76849.1,101515,59923,111023,64384.8,3741.21,7.033,284
129914,99743,85359.6,100078,52283,125446,6799.2,4464.9,7.052,285
72457.3,66106,71832.6,44414.4,28490,102167,8688.8,1819.62,7.308,297
42513.9,33870,82261.3,46936.9,19578,157118,8204,2103.75,7.369,299
41712.1,27637,98912.4,54312.4,24726,143954,18882.4,3855.06,7.408,300
220857,182866,79151.3,113751,66610,111917,13768.8,3761.01,7.536,304
112315,95215,77305.5,97120,61311,103813,4734.4,3444.21,7.702,309
65132.3,51848,82327.4,53906.5,28924,122141,6626.4,3418.47,7.85,312
94778.6,69603,89240.5,89917.7,37795,155916,7504,3023.46,7.86,313
127003,102091,81527.8,58078.4,40639,93659.4,5949.6,1847.34,7.935,317
134304,120659,72947.5,62478.9,45047,90896.6,4202.4,2463.12,8.034,319
66500.5,44274,98436.4,30134.6,15730,125550,11218.4,11258.3,8.041,320
176976,150203,77217.4,78312,53215,96443.7,34889.6,2594.79,8.11,322
59068.6,43866,88248.8,133038,96926,89953.1,4016,21343.4,8.215,328
47514.5,31939,97495.5,50506.8,20119,164522,4216,3904.56,8.319,332
93029,71737,84987.5,90706.8,47245,125824,3921.6,2180.97,8.406,336
83555.9,65698,83349.9,45060.8,25922,113923,17561.6,1589.94,8.517,338
27742.3,17816,102050,51036.5,16876,198194,4358.4,2212.65,8.578,339
61041.2,44912,89071.9,107592,47408,148734,50179.2,5649.93,8.625,340
146050,125100,76510.8,83510.5,48664,112464,8520,2987.82,8.667,341
118511,92236,84205,81578,43612,122588,9004.8,2976.93,8.673,342
154063,135346,74599.1,70208.8,48722,94437.9,7031.2,2925.45,8.966,347
133883,110114,79682.5,72343.3,43910,107973,20515.2,2964.06,8.97,348
127518,98815,84572.1,97742.7,50491,126867,38636,3910.5,9.001,349
92231.1,77297,78197.8,49004,27813,115469,16175.2,2567.07,9.024,351
74922.9,49515,99164.8,62556.1,33707,121627,8043.2,1707.75,9.122,353
103348,83098,81506.1,75081.6,41802,117711,8860.8,6052.86,9.145,354
133797,115491,75923.6,69642.5,49171,92820.8,34468,2332.44,9.224,357
41223,30067,89852.4,61189.9,33971,118046,148.8,10499,9.306,361
59567,41120,94936.4,54288.6,25396,140095,2990.4,1798.83,9.384,364
97843.2,75007,85488.7,47362.6,15935,194788,25428.8,2509.65,9.448,371
103792,75044,90641.9,75938.9,35796,139030,7813.6,10917.7,9.66,376
58532,50826,75472.2,44292.6,33674,86201.8,5677.6,3875.85,9.69,380
114907,102002,73827.6,80423.6,51078,103188,3128,2693.79,9.769,383
154165,137931,73249.6,79740.5,55227,94625.4,13034.4,4121.37,9.785,385
96533.6,77327,81813.9,70517.7,31679,145884,31527.2,2368.08,9.825,386
140050,123279,74451.5,52461.1,35967,95590.1,22780.8,1919.61,9.861,388
106004,95183,72986.2,56184.5,40703,90462.8,970.4,2103.75,9.899,389
34823.9,11835,192836,39337.6,15995,161177,9707.2,1663.2,9.93,390
45387.4,30179,98562.2,68401.1,18023,248723,7916.8,1824.57,10.059,392
53924.5,40934,86334,55475.6,26502,137184,7072,6252.84,10.061,393
19826,13205,98396,60938.5,32661,122276,12384.8,2425.5,10.088,394
103967,86335,78920.2,70031.6,40363,113708,8784,3398.67,10.093,395
82696.4,66694,81260.5,78570.4,42258,121851,51072,3465.99,10.121,396
156356,137055,74765.1,69732.6,50975,89651.7,20420,3513.51,10.328,400
46265.7,36630,82775.6,49110.9,27650,116403,4128.8,4613.4,10.405,403
145843,129830,73619,61382,41426,97106.4,10044.8,2357.19,10.531,404
60137.2,46395,84947.8,72542.2,29083,163468,29840,4564.89,10.539,406
203472,179010,74491.7,92244.2,56018,107917,7086.4,4624.29,10.608,411
65941.2,48742,88661.2,70025.7,27286,168189,27561.6,2571.03,10.631,412
142236,122543,76067.9,78003.1,46943,108898,1760,2624.49,10.749,414
180387,157200,75202.8,78002.1,52708,96986.1,7997.6,2923.47,10.762,416
181288,153212,77545.3,84797.5,53944,103020,73888,3293.73,10.811,417
74951.8,59677,82310.4,65784.5,30349,142056,48750.4,2822.49,10.828,418
100700,87658,75286.9,46144.9,35358,85529.5,4371.2,1308.78,10.944,421
129039,111626,75759.4,75884.5,49626,100213,89189.6,3109.59,10.957,422
41135.6,36436,73989.1,57281.4,30420,123405,17768,2510.64,11.057,425
