"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
46222.8,27347,110771,100363,36995,177792,328.8,1951.29,2.272,207
44605.9,25941,112690,109387,33909,211413,129.6,1346.4,2.273,208
88998.8,76750,75995.1,58046.7,39738,95730.7,142.4,1304.82,2.279,210
81551.3,68323,78224.7,73869.8,40915,118322,168.8,1641.42,2.325,212
46181.5,26147,115751,120029,44259,177731,380,2338.38,2.365,219
30443.4,15638,127583,71061.2,17254,262143,65.6,1395.9,2.407,224
70136.8,61935,74214.7,54460.9,37167,96030.1,338.4,1740.42,2.458,226
44081.7,23707,121860,151595,50395,197141,420.8,1914.66,2.476,227
124626,114957,71048.2,86606.2,56265,100877,324,2544.3,2.541,231
30207.1,26351,75126.2,62876.9,34155,120647,35.2,399.96,2.548,232
93162.4,85811,71150.5,35532.1,27859,83586.3,79.2,1459.26,2.611,234
147119,127379,75692.1,79881.1,56003,93478.7,317.6,2767.05,2.615,235
107730,83714,84336.8,110055,48966,147298,213.6,1851.3,2.66,239
64988.8,44409,95906.4,101491,52749,126093,407.2,2641.32,2.713,241
67767.2,50102,88643,105845,53186,130422,523.2,3605.58,2.715,242
98309.6,85098,75710.6,64713.3,42718,99280.2,195.2,1888.92,2.732,243
29633,15754,123272,77744.7,22154,229984,264.8,2515.59,2.748,244
57356.5,40127,93675.5,180171,72543,162768,232,1704.78,2.753,245
29241.4,22402,85544.4,80635.5,30946,170766,107.2,1554.3,2.77,248
43214.3,36040,78582,53204.6,28251,123423,230.4,1546.38,2.819,251
169056,140627,78784.9,115623,73464,103145,524.8,3605.58,2.841,253
113079,82106,90258.2,115252,62526,120800,298.4,2771.01,2.842,254
106445,92983,75024.3,69670.3,38275,119292,242.4,1793.88,2.85,255
62531,45464,90138,105984,44200,157145,254.4,1511.73,2.875,256
60634.9,40734,97554,105406,43630,158329,177.6,1492.92,2.919,259
106783,93690,74694.4,72695.7,47358,100599,271.2,1478.07,2.979,262
89834.2,89622,65691.1,65275.7,41730,102514,148.8,1475.1,2.988,263
138089,125255,72250.9,197816,161767,80140.3,448.8,2313.63,3.032,266
171294,136668,82140.2,84904.4,59688,93223,750.4,2715.57,3.068,268
36451.7,35398,67486.9,61939.4,36390,111549,135.2,408.87,3.076,269
