"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "CD86", "CD206", "Time", "Event #"
86938.7,61007,93392.8,101002,39419,167921,527.26,2723.97,1.344,115
140412,108453,84848.3,132817,75601,115135,440.34,2424,1.357,116
36817.9,28352,85105.2,101938,54071,123553,363.26,1804.87,1.36,117
19947.5,14427,90613.4,43671.4,18379,155724,0.82,1092.82,1.361,118
58982.2,38434,100574,109602,42678,168304,482.16,2184.63,1.376,120
63034.9,53633,77024.5,53449.2,34561,101353,181.22,1295.83,1.391,122
32133.2,26979,78056.4,63016.9,34131,121001,204.18,1658.42,1.395,123
167686,141542,77641.1,80854.5,56914,93103.3,404.26,3375.42,1.428,125
84517.4,76480,72423.2,73999.7,49648,97680.5,402.62,2064.44,1.449,126
52817,33703,102704,111634,52883,138344,481.34,4533.89,1.455,127
38379,29427,85472.7,75309.6,40867,120770,357.52,2569.44,1.47,128
149727,120532,81410.1,125758,66836,123312,942.18,4047.07,1.471,129
30031.9,13649,144199,113915,38497,193925,654.36,3507.73,1.473,130
62869,54998,74915.1,65666.2,34466,124862,284.54,1720.03,1.519,131
69023.9,48059,94124.9,56671.1,33295,111548,391.96,1770.53,1.573,133
75306,56835,86834.7,80754.5,44999,117610,317.34,1744.27,1.604,135
57558.6,50055,75360.3,53986.5,31347,112868,241.08,1017.07,1.608,136
67918.7,48746,91312.5,57813.4,28490,132989,186.14,1096.86,1.616,137
194974,158934,80397.1,96451,55814,113251,446.08,2588.63,1.647,138
72292.9,38905,121778,122335,42157,190179,463.3,3948.09,1.675,139
44652.4,24286,120495,111301,32458,224728,555.96,2318.96,1.698,141
57286.1,37946,98938,57127.6,33502,111752,140.22,1631.15,1.705,142
30634.6,19882,100979,59973.8,21806,180246,190.24,1103.93,1.706,143
27423.3,20490,87711.6,57152.9,36254,103315,177.12,1029.19,1.739,145
86114.7,75118,75130,72054.4,43898,107571,336.2,1691.75,1.763,146
66603.3,48163,90628,84953.1,44435,125295,253.38,1449.35,1.768,147
86302.8,59338,95317.3,88392.2,45722,126698,253.38,1380.67,1.798,148
64185.9,55799,75386.5,78928.5,42819,120803,318.98,1981.62,1.809,149
183960,158382,76119.9,92966.5,61534,99012.8,475.6,3220.89,1.833,150
62955.9,56610,72882.5,77740.7,46870,108701,540.38,2923.95,1.871,151
96496.9,61918,102135,84607.7,39437,140600,482.98,1925.06,1.946,152
61771.7,36295,111538,59796,28807,136036,177.12,2394.71,1.951,154
114248,89695,83475.9,112519,62715,117580,405.9,2290.68,1.952,155
31130,20308,100460,56812.5,26663,139642,113.98,1158.47,1.988,157
120646,104978,75317,71883.7,53798,87567.8,191.06,1493.79,2.01,158
155530,133450,76379.5,93786.6,66986,91756.4,267.32,1590.75,2.026,159
56535.6,33163,111724,106081,27967,248584,621.56,3079.49,2.035,160
78599.5,49394,104286,101421,43270,153611,428.86,2159.38,2.043,161
115383,102735,73604.1,72134.2,44639,105903,277.98,1626.1,2.084,165
48882,32715,97922.5,67142.8,33727,130467,253.38,1372.59,2.094,166
41001.8,18982,141560,88076,31094,185636,374.74,1816.99,2.102,167
52196.9,34266,99830,73952.2,26862,180423,96.76,973.64,2.162,168
97843.1,64319,99694.4,122244,63103,126958,553.5,2588.63,2.166,169
28970.9,26627,71304.9,34924.8,22723,100728,194.34,914.05,2.168,170
72188.6,52678,89808.9,101594,49810,133669,419.84,2434.1,2.17,171
58674.1,48436,79388.6,109998,50980,141405,554.32,3431.98,2.172,172
27802.5,20431,89181.3,52053.4,39343,86708.4,783.92,1526.11,2.229,174
29626.6,18790,103332,83483.6,36546,149707,487.08,2669.43,2.261,178
23595.7,10861,142378,103306,39341,172091,557.6,2590.65,2.268,179
64643.3,52513,80674.6,77695.3,35569,143154,327.18,1508.94,2.28,180
82699.6,74030,73210.9,39859.6,30718,85039.5,135.3,838.3,2.302,182
107918,93711,75471.5,67681.1,44491,99695.4,357.52,1422.08,2.312,183
61160.2,48763,82197.5,58343.7,31979,119566,128.74,974.65,2.321,184
87757.9,67898,84705.1,79168.9,51498,100750,227.14,1766.49,2.351,185
117847,84943,90922.8,96613.6,51611,122681,607.62,3540.05,2.371,186
103988,97766,69706.6,83812.8,58262,94276.8,301.76,1702.86,2.383,188
46125.7,17330,174431,71842.3,31490,149516,344.4,1042.32,2.408,190
99276.1,85745,75878,96410.6,58261,108449,262.4,2425.01,2.482,192
75877.1,61035,81472.7,113168,59663,124308,300.12,1971.52,2.507,195
29275.8,14691,130598,63830,27971,149554,175.48,1187.76,2.511,196
152675,117461,85183,133030,71973,121132,468.22,1946.27,2.531,197
