"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
29115.1,16732,114038,48519.9,25000,127192,1451.2,1915.65,5.168,189
14233.4,8637,108001,81680.9,69741,76756,2925.6,401.94,5.216,192
59799.5,51608,75938.2,57012.1,35544,105119,573.6,1506.78,5.25,194
98457.1,83080,77665.9,63698.6,42936,97227.3,596,1461.24,5.276,195
70525.3,49340,93675.4,85224.1,55948,99829.3,812,5242.05,5.356,197
95688.1,81741,76718.1,85665.7,52137,107681,684.8,2435.4,5.452,198
113581,88138,84454.6,138701,62254,146013,1127.2,3664.98,5.561,201
34388.6,28120,80145.6,56207.2,26268,140231,1199.2,1685.97,5.631,203
38808.1,23068,110254,113000,41528,178326,908.8,2751.21,5.642,204
28740.7,14348,131276,39941.6,17192,152257,380,1560.24,5.729,205
10793.6,9372,75477.2,103445,78220,86670.6,225.6,24.75,5.827,208
81005.3,73016,72706.9,83193.7,55244,98692.7,465.6,1954.26,5.831,209
75107.8,62689,78518.8,69854.4,43121,106166,414.4,2624.49,6.435,221
26243.1,18198,94508.6,36711.2,20118,119590,398.4,1136.52,6.532,224
36734.1,21796,110452,104924,45136,152346,3005.6,3579.84,6.612,225
34337.9,21926,102635,80482,38434,137235,2248,2266.11,6.687,227
60582.6,42033,94457.7,110150,43221,167021,1196.8,2159.19,6.743,228
37955.6,26277,94662.9,80940.4,40949,129539,2304.8,1941.39,6.841,232
67996.5,58068,76741.4,76652.7,50052,100366,749.6,2312.64,6.891,235
72551.7,58880,80753.2,54621.3,30272,118250,518.4,1588.95,6.896,236
47984,41361,76030.1,43316.5,26501,107120,637.6,1458.27,7.001,237
36179.5,19588,121047,81033.5,38388,138340,721.6,3358.08,7.018,238
114148,88564,84468,90562.2,42064,141097,587.2,2535.39,7.245,246
132475,118477,73279.2,105942,62505,111079,852.8,5254.92,7.247,247
39211.4,33088,77664.3,58131.8,31572,120668,1008,1705.77,7.36,251
49427.8,39037,82980.3,95830,47945,130990,294.4,1963.17,7.425,254
9383.4,7924,77606.1,54880.7,33204,108320,276.8,1185.03,7.482,255
99487.4,80829,80664.2,64985.6,36861,115539,399.2,1359.27,7.524,256
30701.6,28701,70104.1,49997,32265,101553,1798.4,1317.69,7.54,257
139307,113125,80704,141972,73393,126773,892,3680.82,7.695,259
51217.1,41789,80321.8,54065.9,31401,112839,481.6,1511.73,7.704,260
41804.1,26564,103135,58598.1,34932,109936,624,1402.83,7.711,261
128674,103052,81830.5,131583,57372,150307,717.6,3222.45,7.759,262
77084.3,55155,91592.7,49960.4,27703,118189,291.2,1092.96,7.795,263
57550,40893,92230.8,98064.5,43645,147251,1712.8,2695.77,7.871,265
96695,82117,77170.4,65203.4,40737,104896,407.2,1591.92,7.924,266
50939.5,42453,78636.8,90024.7,44737,131879,968.8,2299.77,7.925,267
94608.5,79194,78292.1,82585.8,42174,128334,1042.4,4223.34,8.076,272
41350.9,23832,113712,91573,40680,147525,278.4,3252.15,8.139,276
115312,98560,76675,109651,51412,139775,864.8,4609.44,8.155,277
116858,105040,72909.4,54817.3,42772,83992,512,1170.18,8.171,278
78156,67369,76029.5,78989.1,46509,111304,446.4,3091.77,8.203,279
99328.3,76688,84884,109152,57924,123497,1303.2,3351.15,8.205,280
20977.3,13353,102956,70223.7,32713,140683,535.2,2089.89,8.254,283
73302.1,69711,68912,47467.5,31979,97277.3,356.8,992.97,8.413,286
87091.7,73077,78104.5,80381.1,46369,113607,476,2063.16,8.484,287
80778.4,58473,90535.6,84462.8,37721,146745,390.4,2053.26,8.585,289
100200,79516,82583.8,81721.5,50088,106926,885.6,1760.22,8.703,292
80309.6,66988,78568.8,75925.1,46616,106741,562.4,2612.61,8.785,294
35427.6,20181,115048,83771.8,38517,142536,688,2724.48,8.787,295
47682.2,31012,100764,67947.7,30880,144204,800,1859.22,8.813,297
37736.4,31553,78379,48250.6,29093,108691,456,1611.72,8.829,300
97111.6,78229,81354.8,54106.5,37477,94615.9,602.4,1594.89,8.927,303
122559,105664,76014.8,135618,70048,126883,894.4,3525.39,8.944,304
47519.2,29330,106179,92591.7,41430,146466,704,3327.39,9.05,307
134218,108485,81081.2,94548,56837,109019,722.4,2536.38,9.125,309
128621,101958,82674.4,64099.5,45282,92770.4,342.4,1328.58,9.151,311
65045,45078,94564.7,91531.4,49750,120575,663.2,2388.87,9.168,313
111057,97270,74825.2,109512,55986,128192,625.6,3184.83,9.226,314
32785,23033,93283.3,56233,27257,135205,294.4,1954.26,9.25,315
64533.3,58875,71834.5,29761.4,21291,91608.8,251.2,487.08,9.258,316
103008,88068,76653.9,83859.9,48756,112721,1059.2,2423.52,9.309,317
54349.6,42561,83688.3,67534.8,33269,133036,747.2,2482.92,9.332,319
31978.4,25029,83732.4,47620,30645,101838,1324.8,1008.81,9.366,320
67016,55577,79024.8,48517.9,25849,123009,359.2,1710.72,9.385,321
34533.7,19388,116732,38362.5,21112,119085,376,794.97,9.451,322
179396,149836,78465.1,144061,77464,121878,888,4608.45,9.599,324
19486,10508,121529,53679.8,27224,129223,467.2,1689.93,9.609,325
41811.1,24403,112287,65947.9,33123,130482,850.4,1767.15,9.614,326
130990,103970,82567.7,110313,50661,142703,1050.4,3063.06,9.674,329
44580.1,39120,74683.1,64786.6,35616,119212,919.2,1595.88,9.912,332
111984,91156,80510,118365,63492,122176,902.4,2969.01,9.95,333
39417.3,32133,80392.5,46614.2,28789,106114,336,1143.45,9.952,334
21008.5,15533,88638,54992.5,32873,109634,4152,976.14,9.989,335
56727.1,48289,76987.8,71803.7,39285,119784,876.8,1906.74,10.139,341
20310.4,14788,90009.7,83369.9,33860,161362,1562.4,1957.23,10.284,345
61166,45829,87468.1,56013.2,34641,105969,221.6,1134.54,10.296,346
58918.9,43525,88714.7,77091.3,43505,116130,884,2384.91,10.365,347
34731.1,23109,98495.6,90218.7,46741,126496,732,2587.86,10.452,349
25422.5,22579,73789.4,24367.9,19335,82594.9,457.6,1864.17,10.491,350
73960.4,52634,92090,108201,46910,151163,587.2,2067.12,10.542,352
33022.9,27816,77803.6,31865.1,25004,83519.2,266.4,991.98,10.61,354
35624.2,23728,98392.8,53709.5,36068,97590.8,3040.8,1929.51,10.676,355
44487.3,29385,99217.9,63673.8,36777,113466,1346.4,1702.8,10.681,356
75922.1,63061,78901.9,63879.8,39141,106957,271.2,1205.82,10.737,357
68493.4,48601,92359.8,62116.6,32989,123401,632.8,2018.61,10.78,359
75430.7,63667,77645,40941.4,28167,95258.2,536,1003.86,10.937,362
36404.2,17992,132602,146143,57644,166151,2959.2,4493.61,10.988,365
83800.9,71457,76857,66487.4,34449,126486,668,2393.82,11.045,367
41833.7,34519,79423.4,90302.9,54775,108044,676.8,4359.96,11.061,368
87139.3,71344,80045.4,111088,47860,152116,616,2666.07,11.066,369
34967.4,28481,80461.5,34337.2,24789,90779,856,3611.52,11.07,370
73523.6,60877,79150.4,76500.3,43533,115166,800.8,1806.75,11.165,371
127042,110917,75063.9,69358.4,49825,91228.8,570.4,1608.75,11.166,372
65608.1,49460,86932.8,22954.1,16372,91883.9,448.8,1481.04,11.169,374
27082.4,16664,106509,59981.1,34972,112402,991.2,1320.66,11.227,375
42537.3,30723,90737.4,53930.2,25079,140930,340.8,1357.29,11.299,378
45720.5,35824,83640.5,49453.5,30484,106317,411.2,1093.95,11.308,379
33058,23157,93556.4,59739.6,32565,120224,445.6,1220.67,11.377,380
97793.3,86468,74119.7,77375.4,50816,99789,324,1761.21,11.39,381
102301,86149,77823.2,83041.2,57461,94711,674.4,2891.79,11.415,382
67951.3,61809,72048.6,63832.2,44385,94250.5,616.8,2218.59,11.444,383
62431.2,50236,81445.4,64105.5,35116,119638,559.2,1371.15,11.472,384
171431,140246,80108.4,109262,68226,104954,328,3176.91,11.475,385
44087.9,30343,95222.9,52959.1,28275,122749,488,1261.26,11.515,387
56285.6,35833,102942,69893,37549,121988,1565.6,3134.34,11.533,389
76821.4,62336,80765,61800.8,35456,114231,287.2,1174.14,11.685,391
115260,96664,78143.5,110861,60744,119607,718.4,2674.98,11.794,394
35733.4,30112,77770.4,69855.4,40756,112328,715.2,2791.8,12.01,397
46724.3,38147,80271.7,44683.7,31367,93358.9,742.4,1887.93,12.178,400
77303.5,64869,78098.3,52185.9,33397,102406,445.6,1795.86,12.277,404
139250,119336,76472.4,109548,66428,108077,812,3679.83,12.287,405
57500.8,44853,84016.1,61190.9,30645,130860,637.6,1881.99,12.303,406
58404.1,37708,101505,69454.4,41464,109776,717.6,1962.18,12.32,408
75787.1,57965,85686,76775.5,46509,108185,718.4,2045.34,12.338,409
61030.3,50586,79067,49702.9,31850,102271,460,1504.8,12.646,417
58686.4,40772,94331.2,49466.3,28112,115318,390.4,1101.87,12.721,418
50544,45069,73497.3,49277.2,33565,96214.3,485.6,1558.26,12.818,419
82302.5,64337,83836.3,57640.8,40961,92223,344.8,1603.8,12.851,420
140846,123501,74740.2,86498.3,58713,96550.2,1004,2865.06,12.873,421
78863.5,71537,72247.9,58280.3,38817,98396.5,321.6,1546.38,12.875,422
150900,131200,75376.2,92518.5,61648,98353.4,683.2,2239.38,12.951,424
70394.2,58721,78564,86237.9,48977,115395,806.4,2093.85,12.998,425
36740.3,18008,133708,100320,30844,213155,498.4,2180.97,13.007,426
42252.6,39310,70441.8,57934.8,41178,92204.9,1077.6,1821.6,13.011,427
47424,38791,80121.1,64026.3,43799,95801.9,1038.4,3134.34,13.128,430
97719.2,78639,81437,75847.9,40255,123482,388.8,1641.42,13.221,433
66869.4,48360,90619.4,117707,55980,137800,1404.8,3434.31,13.286,435
111831,92429,79292.8,88294.1,54233,106696,537.6,1778.04,13.288,436
77042.2,67585,74706.4,60310.8,40545,97485,660,2561.13,13.359,437
97213,76344,83450.5,103108,58364,115779,1833.6,2493.81,13.384,438
48759.4,33224,96180.3,59631.7,33048,118253,383.2,1323.63,13.482,441
25577.8,23028,72792.4,60325.7,31440,125748,2160,1948.32,13.704,447
94234.1,80176,77027.1,91436.4,48772,122865,514.4,1849.32,13.744,448
57777.7,49181,76991.5,61491.9,42077,95775.2,759.2,2427.48,13.753,449
98195,97640,65908.5,57686.3,40056,94381.1,431.2,2031.48,13.763,451
104590,90469,75765.4,66461.7,44469,97947.6,1467.2,1906.74,13.778,452
60063.9,40448,97318.7,71585.9,33284,140952,658.4,2385.9,13.819,455
27080,13124,135227,85621.1,25296,221824,787.2,2268.09,13.834,456
30479.3,20732,96348.2,56313.2,28684,128662,410.4,1754.28,13.842,457
32731.9,24900,86149.4,130655,46752,183150,640,3254.13,13.938,458
67474.7,58454,75649.6,43835.2,33110,86764.9,93.6,951.39,13.984,460
72380.1,56557,83871.2,62587.8,36425,112608,271.2,1680.03,13.987,461
37762.1,32885,75255.6,24061,18817,83799.7,128,938.52,14.056,462
58939.1,50524,76451.5,79217.8,51084,101629,4480,2414.61,14.09,463
61226.1,53800,74582,39438.6,27900,92639.8,457.6,969.21,14.335,467
