"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
64974,56401,75497.5,39111.9,27221,94164,4344,38216,0.454,113
53214.7,51061,68300.3,56517.1,41349,89576.7,2248,5864.76,0.461,114
112220,98076,74987.4,55090.5,41900,86167.4,3264.8,5595.48,0.468,116
91629.7,75913,79104.3,85834,46601,120710,1922.4,20982.1,0.469,117
57930.6,51400,73862.6,30377.2,24040,82811.9,387.2,2906.64,0.469,118
64540.3,52361,80779.9,47165.6,30669,100787,712.8,10982.1,0.476,120
68466.8,51344,87391.8,116977,64004,119777,1528,21958.2,0.479,121
90146.9,77344,76384.3,75854.8,46400,107138,1693.6,16926,0.48,122
42176.9,39993,69114.8,55628.1,38509,94669.9,1181.6,12221.5,0.493,123
103387,88601,76473.2,66673.5,44365,98490.2,1198.4,23919.4,0.494,124
137503,119471,75427.5,69485.1,51327,88720.9,2320.8,20131.7,0.511,125
62846.9,53276,77309.4,36240.9,27880,85189.6,4537.6,8423.91,0.516,126
91227.2,83972,71198.4,44071.8,32368,89232.9,680.8,8375.4,0.517,128
29578.4,15334,126415,69049.5,41058,110216,3859.2,10395,0.518,129
137731,116408,77540.4,53908.5,37624,93901.4,7324.8,8442.72,0.522,130
75841,67869,73233.9,45940.9,31789,94711.6,2327.2,4210.47,0.531,132
47710.3,28429,109984,63887.7,31917,131182,1102.4,8619.93,0.541,134
96209.9,84441,74670,54970.7,39533,91128,1562.4,14328.3,0.541,135
76298,68566,72926.4,28487.2,22710,82207.9,908,2447.28,0.546,136
115389,101333,74626.8,63696.6,45749,91246.2,1131.2,2206.71,0.551,137
96619.4,89481,70764.2,72935.3,51721,92416.8,908.8,14020.4,0.575,140
47152.6,44925,68785.5,39276.3,26985,95386.7,3284.8,8183.34,0.577,141
116169,97673,77946,73004.6,46701,102448,6368,8637.75,0.579,142
100682,90272,73093.2,58947.6,41156,93866.9,1236,24688.6,0.597,143
43501.4,23132,123245,129098,60940,138834,2027.2,14144.1,0.599,144
