"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
103783,90076,75508.6,89430.1,53064,110450,10134.9,17441.6,0.6,0
145081,119729,79413,75240,46417,106231,31093.6,9468.17,0.6,1
77689.1,50048,101731,71794.6,36352,129432,2705.75,14329.8,0.601,2
38600.9,29932,84516.5,104774,50172,136858,2479.81,9186.87,0.602,3
116841,89599,85462.1,125502,63371,129789,11320.7,10844.6,0.603,4
33260.1,26067,83620.6,72904.2,38871,122916,17495.3,8271.19,0.604,5
155173,116017,87654.8,130643,63345,135162,2436.36,42575.2,0.608,8
109013,81665,87482.5,62115.9,34833,116867,7482.88,2673.32,0.61,9
184741,145723,83083.4,135892,80337,110856,12406.2,14261.9,0.613,11
58110.4,37980,100272,123796,53468,151738,9630.1,21620.3,0.615,12
111898,97792,74989.2,103460,55200,122833,30605.4,9549.65,0.618,13
41088.7,33441,80523.6,106797,50881,137557,10322.9,7732.84,0.624,16
111432,96057,76025.8,84364.8,52717,104879,14085.7,4682.19,0.624,17
92429.3,67508,89729.3,129668,59908,141849,1222.92,23360.5,0.624,18
22554.1,20495,72120.2,37105.4,32901,73910.8,425.02,4299.04,0.628,19
98476.1,85291,75667.2,57367.7,46113,81531.3,2202.52,6776.42,0.635,20
159885,127052,82472,89827.8,56648,103922,5684.84,12995.1,0.635,21
116843,98067,78083.5,105050,63223,108893,10592.3,7741.57,0.638,22
177199,140881,82430.8,128551,78917,106754,9501.33,15997.2,0.639,23
139519,115139,79413.1,123669,73811,109805,16199.7,23027.8,0.641,24
82973.7,63981,84990.3,87061.4,54729,104253,3953.95,6790.97,0.645,26
140087,114961,79859.5,105955,62709,110732,8977.56,9845.5,0.647,27
149963,111544,88108.4,122362,75464,106264,7157.4,10457.6,0.65,29
92931.3,79582,76529.2,48301.2,32196,98318.6,8872.49,6113.91,0.651,30
65004.2,56497,75404.2,119695,57553,136298,2901.67,20883.1,0.652,31
78975.8,56003,92419.3,127442,47475,175926,5703.8,8382.74,0.655,32
29594.2,16504,117516,81511,32456,164589,5815.98,4018.71,0.662,34
75552.4,60597,81710.3,58609.3,40433,94997.2,11159.5,4475.58,0.664,35
69619.5,52680,86609.5,113993,47308,157916,31212.1,3549.23,0.666,36
81709.3,69656,76876.4,72242.7,42008,112705,6946.47,4044.9,0.667,37
21408.3,13132,106839,66098.7,23160,187040,1366.7,6545.56,0.668,40
120540,109181,72354.5,67158,48361,91008.5,17350,18162.3,0.672,42
94067.8,73081,84356.1,89242.9,50073,116802,12957.6,5852.98,0.675,43
109719,86948,82699.2,88850.1,53396,109051,12334.3,18963.5,0.676,44
58641.7,36937,104046,73263.1,37565,127815,11742.6,9751.41,0.678,45
105247,81680,84444.7,97725.6,48068,133239,1734.84,13743,0.679,46
110201,88360,81735.2,75462.1,38124,129721,8283.15,8932.73,0.681,47
74184.1,47333,102713,96038.7,50193,125396,11022.1,13375.3,0.682,48
24120.2,16169,97763.9,109357,46461,154254,1306.66,4160.33,0.685,49
62503.2,54773,74785.2,20969.5,19125,71856.5,643.06,3382.39,0.688,50
51034.1,38933,85905.7,65750.5,35297,122079,3227.15,13726.5,0.69,52
81770.1,52882,101337,101765,54978,121308,14528.9,10281,0.692,53
42779.7,32430,86451.1,62272.1,32990,123706,8814.82,7706.65,0.696,55
38008,18800,132494,70956.5,30724,151354,7413.36,4039.08,0.698,56
106680,102633,68120,53046.4,39785,87380.9,3896.28,5872.38,0.703,57
155360,136188,74761.8,82948.6,57400,94705.9,11933,8520.48,0.704,58
116145,106860,71230.5,63170.3,48584,85211.8,4836.38,4383.43,0.704,59
117381,92099,83526.3,78472,61191,84044.1,7589.53,16669.5,0.705,60
172018,129980,86731.6,110064,66680,108176,20991.9,19527.1,0.705,61
91436,79754,75135.4,47605.7,32026,97417.2,10213.1,3556.99,0.708,62
47048.5,27284,113010,93089.9,36160,168715,6636.79,7767.76,0.711,64
122609,114842,69968.1,56768.3,44622,83375.2,2500.35,7074.21,0.712,65
106975,98227,71372.8,75793.9,49639,100067,17436.9,7907.44,0.714,66
88880.3,62605,93041.5,92756.2,49933,121741,14279.2,10092.9,0.715,67
40489.7,31965,83013.7,70701.4,31097,149001,2652.03,15256.2,0.715,68
128488,121038,69569.6,82224,52430,102778,19558,7088.76,0.72,70
160657,146793,71725.8,80090,59673,87959,12020.6,25124.9,0.72,71
51912.6,35434,96013.6,80176.3,41918,125350,12617.9,35214.9,0.722,72
85468.5,55725,100516,63646.6,37245,111992,7881.83,11221,0.726,75
42971.4,43524,64703.9,32536.7,24996,85306.7,8716.07,1880.83,0.729,76
105089,78936,87249.2,161443,63992,165338,12900.7,21805.6,0.73,77
113413,100705,73806.2,53573.1,40645,86381.3,3552.63,4850.97,0.732,78
96622.7,80726,78441.4,73864.5,43090,112341,15086.6,8425.42,0.733,79
108419,97365,72976.5,49764.9,35125,92851,3599.24,3928.5,0.734,81
34939.5,25952,88232,39286.9,26228,98166.4,2494.03,12403.4,0.734,82
63723.7,36616,114054,138978,64988,140150,36713.7,13366.6,0.737,84
135890,125509,70956.4,67844.7,47169,94262.6,7463.13,9945.41,0.738,85
94896.3,77300,80454.4,103723,48496,140168,17701.5,6887.97,0.738,86
70699.1,48925,94702.8,97738.2,52169,122781,21453.2,29917.7,0.738,87
88366,68939,84004,105743,51339,134984,16789.9,12472.3,0.739,88
114239,98770,75799.8,82412.2,60002,90013.1,3160.79,20840.5,0.742,90
123995,112031,72534.5,74171.1,48284,100673,3393.05,24974.6,0.743,91
67152.5,54316,81024.1,70689.7,37928,122145,6564.9,7933.63,0.751,92
102600,84593,79486.6,125706,64049,128625,3295.09,9720.37,0.751,93
25597.1,22160,75700.9,45076.9,26580,111142,5542.64,5607.57,0.756,96
102630,93489,71944,84212.5,56081,98410.3,16956.6,11038.6,0.757,97
105832,91809,75545.9,82028.1,50357,106754,7298.02,8150.91,0.761,98
71083.3,60132,77471.5,94439.2,48724,127025,11763.9,20477.7,0.763,99
116851,91328,83851.3,71496.8,48471,96668.4,2582.51,8789.17,0.776,101
129645,115297,73691.5,61422.3,45813,87865.3,4785.03,9364.38,0.779,103
79092.9,68631,75526.1,82877.8,50531,107488,13998,13523.7,0.784,104
20998.7,12989,105949,40359.8,19993,132297,703.89,7228.44,0.785,105
56024.4,49293,74485.6,77911.4,41213,123893,17876.1,6434.01,0.79,107
101240,72915,90994.8,100138,55283,118710,15916.9,5228.3,0.791,108
78767.1,52115,99051.8,100392,51287,128284,7074.45,4414.47,0.794,110
219087,177399,80936.5,139786,81907,111846,14611.8,12437.3,0.795,111
57622.2,34212,110380,76678.5,35924,139884,11609.8,8514.66,0.795,112
112020,82824,88638.2,79944.5,47480,110346,3614.25,7613.53,0.804,115
80371.1,71784,73375.6,72683.1,47148,101030,25537.5,7001.46,0.804,116
64999.5,45662,93290.1,86376.6,42238,134021,6165.95,5223.45,0.804,117
130237,111685,76422.2,78106.3,50677,101008,7592.69,3907.16,0.804,118
128785,109585,77018.2,110253,57541,125572,5596.36,8236.27,0.805,119
122730,109677,73335.8,83567.4,55133,99335.7,7450.49,12508.2,0.806,120
108870,82364,86626.7,66692.4,38040,114899,1836.75,9876.54,0.806,121
78108,50764,100837,94279.2,49176,125644,26721.8,6865.66,0.807,122
125086,111024,73836.5,52505.1,39700,86674.5,3048.61,9475.93,0.808,123
120044,101529,77487.1,95270.5,45145,138302,17455.1,8568.01,0.809,124
157096,128905,79868.6,108814,67213,106099,18121.8,33919,0.814,125
113071,94076,78768.2,88221.5,48872,118303,9615.09,8358.49,0.815,126
28440.7,17015,109544,24660.3,15907,101599,72.68,997.16,0.816,127
54378.9,49517,71970.8,58767.5,38397,100304,19607.8,12538.2,0.819,129
18643.2,12654,96554.7,86891.6,41258,138022,3650.59,16650.1,0.819,130
125100,106037,77317.6,90091.7,51137,115459,12339.8,8506.9,0.821,132
136916,125927,71255,74567.8,53779,90869.6,9448.4,11494.5,0.827,135
30044.6,28393,69348.2,62614.5,42169,97310.9,3610.3,11832.1,0.831,136
124979,113104,72417,100505,56256,117084,2875.6,8890.05,0.838,137
145313,129112,73759.4,152229,78104,127733,36986.2,11900.9,0.838,138
31138.8,22633,90165.4,68237.6,38201,117065,8810.87,8352.67,0.841,139
121551,108957,73111.4,78765,58397,88393.9,5798.6,11401.4,0.844,140
87016.9,72044,79156.4,76807.5,38796,129747,17929.8,5228.3,0.845,141
142504,118584,78755.4,116199,74700,101944,9507.65,27051.4,0.847,143
146744,126395,76086.7,74813.2,51339,95501.6,13393.7,17803.4,0.848,144
103543,78722,86199.8,65778.6,45993,93728.8,10849.9,5485.35,0.853,147
62518.6,52645,77827.3,65688.4,42229,101943,2144.06,12056.1,0.853,148
68516.9,52853,84958.7,59183.6,34885,111184,7674.06,5163.31,0.861,150
59377.8,45962,84665.2,62943.3,33584,122828,13716.8,9204.33,0.868,151
135416,116893,75920.9,75596,50205,98680.6,5917.89,14525.8,0.871,153
93045.3,74229,82148.7,64852.3,47125,90189,17406.1,9971.6,0.871,154
119994,96220,81728.9,155170,63464,160236,3419.91,24997.9,0.871,155
55982.8,37259,98470,63459.3,32177,129250,5589.25,19565.9,0.876,156
62403.1,42708,95758.4,106315,42900,162412,4560.67,12507.2,0.876,157
29594.9,20301,95538.9,63910.4,28541,146751,6854.83,18825.8,0.877,158
28381.4,26709,69639.7,48780.3,42453,75303.7,175.38,1228.99,0.878,159
48414.5,42740,74237.1,83803.2,36464,150618,8114.88,18732.6,0.879,160
106259,96954,71825.9,44080.7,35646,81043.4,1820.95,4879.1,0.882,161
72217.5,49481,95649.8,57807.2,22921,165283,8133.84,2834.34,0.886,162
69310,57744,78662.7,104521,54768,125071,648.59,6747.32,0.886,163
34089.4,22933,97417.9,57622.9,35637,105968,5740.93,13671.2,0.886,164
39250.8,35921,71611,24065.7,15621,100965,458.2,3303.82,0.887,165
44057.1,32011,90197.9,55785.7,39007,93726,3028.86,8581.59,0.891,166
109972,92665,77776.2,74949,46761,105042,12551.5,11607,0.894,169
69311.5,58473,77683.7,77449.6,44573,113875,8723.97,11379.1,0.895,170
83140.8,75204,72452.4,69466.6,36688,124089,9554.26,9191.72,0.9,171
117709,84192,91626.1,111865,60612,120953,10184.7,18385.4,0.901,172
27067.8,21156,83849.3,94279.2,45952,134459,4582,8385.65,0.905,173
71455.2,59980,78074.2,57363.9,39160,96001,2189.88,7319.62,0.906,174
28955.1,27608,68733.7,64606.9,34636,122245,3864.68,13469.4,0.906,175
39041.3,38253,66886.6,52969.8,30265,114701,1262.42,26272.5,0.907,176
68511.5,59092,75982.7,65292.6,34368,124506,5781.22,15407.5,0.907,177
68689.4,56209,80087.3,57695.6,37473,100903,4953.3,8026.75,0.908,178
39390.1,34268,75331.8,60812.2,27068,147236,1658.21,5651.22,0.911,179
59922.2,53030,74053.5,59047.8,37670,102728,3656.91,24612.8,0.911,180
20246.4,16353,81139,62277.9,45377,89945.2,94.8,2000.14,0.912,181
34224.2,25921,86528.9,44337.7,24741,117445,9889.22,4709.35,0.914,182
96504.1,66393,95258.4,101142,49513,133873,15145.1,7188.67,0.915,183
36401.8,26007,91730.1,35404,18615,124643,1364.33,8721.27,0.917,184
107769,101132,69837.1,70419.1,48440,95272.2,6508.02,9665.08,0.919,185
104482,77160,88742.1,70862.4,45516,102031,7888.94,9206.27,0.923,186
149476,118713,82519,94986.3,52381,118841,19051.6,8536.97,0.924,187
100463,89045,73939.3,53365.5,40033,87362,5356.99,6995.64,0.925,188
116533,82625,92430.6,127007,66693,124804,11613,39326.7,0.925,189
101161,80188,82676.9,55856.5,34252,106873,2124.31,24539.1,0.926,190
105020,94013,73208.6,61867.6,46585,87035.6,12291.6,3721.89,0.938,191
119224,110277,70853.4,64236.3,42753,98467.7,6293.93,29136.9,0.942,192
67651.4,46980,94372.2,89973.3,47424,124336,19346.3,26222,0.95,195
