"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "APC-A", "Alexa Fluor 488-A", "Time", "Event #"
117192,108952,70492.7,87102.1,58924,96876.1,2481.39,7993.77,0.778,97
134044,116668,75296.6,85024.4,63784,87359.8,6854.04,5705.54,0.78,98
59708.1,49732,78682.4,124757,59168,138184,4479.3,8330.36,0.78,99
77751.5,67520,75466.9,44778.1,28592,102636,2936.43,3559.9,0.782,100
118757,103692,75057.5,49191.6,37212,86633.9,2607.79,24592.4,0.782,101
113730,100270,74333.2,84046.6,55582,99098.3,53746.9,6600.85,0.785,103
87061.6,74234,76860.6,70692.6,47978,96563.3,11653.3,5690.02,0.788,105
26443.3,18754,92406.5,96454.9,41462,152459,1617.13,9124.79,0.788,106
52122.8,44292,77122.8,81257.9,49184,108273,2807.66,11747.7,0.788,107
67292.6,56113,78593,84989.5,53217,104663,7339.89,7100.4,0.79,108
101327,77520,85662.3,57006.9,38724,96477.8,3926.3,3983.79,0.794,110
38418.4,24084,104542,95271.5,46164,135251,7761.75,18884.9,0.796,111
42383.9,34028,81628.9,114939,54108,139215,4742.37,16685,0.797,112
66127.6,48945,88543,61957.8,31973,126997,5731.45,10918.3,0.798,113
70847.7,59173,78466.1,73992.6,45857,105746,3978.44,4208.83,0.803,114
28871.1,25896,73065.3,44457,28344,102792,3223.2,4014.83,0.804,115
153257,128236,78323.1,133924,54684,160501,2375.53,10736,0.806,116
76954.6,49577,101726,98479.2,48585,132838,3477.58,15374.5,0.807,117
50089.3,42061,78045,103041,48109,140367,1016.73,7739.63,0.81,119
40183.2,18939,139049,76965.6,27627,182576,21270,4314.56,0.812,120
59887.5,43961,89278.9,51157.8,29805,112487,2245.18,6152.71,0.813,121
92756.5,72664,83657.5,75300.1,41144,119941,12527,5942.22,0.815,122
170357,123113,90685.2,131812,62989,137142,5872.86,11997.9,0.819,124
68965,43608,103644,75939.4,44988,110624,2411.08,12169.6,0.819,125
72685.7,66824,71284.7,63668.9,40184,103837,2845.58,8981.23,0.825,128
99027.4,86472,75051.6,60075,38956,101065,1136.02,3238.83,0.831,129
26407.9,15319,112975,46817.1,22371,137151,3047.03,6260.38,0.831,130
80461.1,72551,72681.3,51742.7,35511,95491.8,11219.6,5404.84,0.832,131
105012,77781,88479.9,187004,71254,171998,7062.6,11438.2,0.834,133
88115.7,66933,86276.6,92008.4,45877,131435,6725.27,6419.46,0.834,134
59469.4,45294,86046.4,78602,50442,102122,8844.05,8132.48,0.837,136
104481,96048,71290.2,70780.9,46724,99278.7,9965.06,14469.5,0.838,137
84225.7,61549,89681.6,87178.8,50905,112235,6219.67,14939.9,0.84,138
97505.9,85121,75071.3,68438.4,47477,94470.5,18601.3,7218.74,0.849,142
104564,97844,70036.9,93459.5,48832,125429,51779,11022.1,0.854,143
18146.6,11522,103216,62842.4,21462,191895,3860.73,14171.7,0.856,144
70955.5,56665,82063.7,63692.1,40477,103123,5947.12,4582.28,0.858,145
94372.7,90839,68085.4,69995.2,46231,99223.6,7638.51,17107.9,0.866,146
41748.6,29122,93950.9,53613.8,26658,131804,4834.01,7045.11,0.87,148
170804,140521,79659.6,94808.8,62233,99840.7,12864.4,21203.2,0.874,151
102416,71780,93507.2,130507,62052,137834,2932.48,19183.7,0.874,152
56350.9,39252,94084.7,62206.1,37536,108609,6722.11,5356.34,0.876,153
52811.2,42773,80916.4,47461.1,28497,109149,6961.48,3496.85,0.88,156
42610.3,28457,98130.7,65307.2,28361,150910,12809.9,7384.61,0.882,157
99306.1,86572,75175.9,62577.6,40984,100066,6408.48,5241.88,0.886,159
143728,124512,75650.3,77109.2,55024,91840.4,4416.89,7284.7,0.89,160
35601.7,21768,107185,77568,30936,164323,5332.5,12064.9,0.893,161
74090.2,71459,67949.1,73128.3,51939,92272.4,3070.73,11920.3,0.893,162
74728.5,57999,84439.5,85851.8,52412,107349,5818.35,9820.28,0.894,165
